"min","first_name","last_name","height","weight","years_pro","college","position","passing_tds"
"00-0020531","Drew","Brees",72,209,16,"Purdue","QB","295"
"00-0019596","Tom","Brady",76,225,17,"Michigan","QB","279"
"00-0023459","Aaron","Rodgers",74,225,12,"California","QB","274"
"00-0010346","Peyton","Manning",77,230,18,"Tennessee","UNK","235"
"00-0022942","Philip","Rivers",77,228,13,"North Carolina State","QB","217"
"00-0022803","Eli","Manning",76,218,13,"Mississippi","QB","212"
"00-0026143","Matt","Ryan",76,217,9,"Boston College","QB","207"
"00-0022924","Ben","Roethlisberger",77,240,13,"Miami (Ohio)","QB","189"
"00-0026158","Joe","Flacco",78,245,9,"Delaware","QB","186"
"00-0026498","Matthew","Stafford",75,226,8,"Georgia","QB","183"
"00-0021678","Tony","Romo",74,230,14,"Eastern Illinois","QB","182"
"00-0024226","Jay","Cutler",75,231,11,"Vanderbilt","QB","160"
"00-0021429","Carson","Palmer",77,235,14,"USC","QB","159"
"00-0023682","Ryan","Fitzpatrick",74,223,12,"Harvard","QB","158"
"00-0023436","Alex","Smith",76,217,12,"Utah","QB","143"
"00-0029263","Russell","Wilson",71,215,5,"Wisconsin","QB","133"
"00-0027939","Cam","Newton",77,245,6,"Auburn","QB","129"
"00-0027973","Andy","Dalton",74,220,6,"Texas Christian","QB","129"
"00-0029668","Andrew","Luck",76,240,5,"Stanford","QB","120"
"00-0022787","Matt","Schaub",78,245,13,"Virginia","QB","113"
"00-0026898","Mark","Sanchez",74,225,8,"USC","QB","111"
"00-0027854","Sam","Bradford",76,224,7,"Oklahoma","QB","99"
"00-0029701","Ryan","Tannehill",76,216,5,"Texas A&M;","QB","96"
"00-0023662","Matt","Cassel",76,228,12,"USC","QB","88"
"00-0026993","Josh","Freeman",78,240,6,"Kansas State","UNK","85"
"00-0023541","Kyle","Orton",76,228,11,"Purdue","UNK","80"
"00-0007091","Matt","Hasselbeck",76,235,17,"Boston College","UNK","80"
"00-0026197","Chad","Henne",75,219,9,"Michigan","QB","71"
"00-0020245","Mike","Vick",72,210,15,"Virginia Tech","UNK","69"
"00-0027974","Colin","Kaepernick",76,230,6,"Nevada","QB","67"
"00-0029567","Nick","Foles",78,243,5,"Arizona","QB","64"
"00-0029604","Kirk","Cousins",75,210,5,"Michigan State","QB","61"
"00-0023460","Jason","Campbell",77,235,10,"Auburn","UNK","58"
"00-0031280","Derek","Carr",75,215,3,"Fresno State","QB","58"
"00-0031407","Blake","Bortles",77,239,3,"Central Florida","QB","51"
"00-0005106","Brett","Favre",74,222,20,"Southern Mississippi","UNK","50"
"00-0026625","Brian","Hoyer",74,215,8,"Michigan State","QB","48"
"00-0029665","Robert","Griffin III",74,218,5,"Baylor","QB","47"
"00-0021206","Josh","McCown",76,218,14,"Sam Houston State","QB","45"
"00-0011022","Donovan","McNabb",74,240,13,"Syracuse","UNK","45"
"00-0020679","Shaun","Hill",75,230,15,"Maryland","QB","44"
"00-0027950","Christian","Ponder",74,229,5,"Florida State","QB","44"
"00-0027948","Blaine","Gabbert",76,235,6,"Missouri","QB","42"
"00-0027688","Colt","McCoy",73,215,7,"Texas","QB","42"
"00-0021231","David","Garrard",73,236,10,"East Carolina","UNK","41"
"00-0025708","Matt","Moore",75,225,9,"Oregon State","QB","38"
"00-0029677","Brandon","Weeden",76,228,5,"Oklahoma State","QB","37"
"00-0030520","Mike","Glennon",78,225,4,"North Carolina State","QB","36"
"00-0031237","Teddy","Bridgewater",74,215,3,"Louisville","QB","36"
"00-0027946","Jake","Locker",75,223,4,"Washington","UNK","34"
